Date,Open,High,Low,Close,Adj Close,Volume
15/2/2024,236.27,238.32,235.74,236.52,232.91,1520400
14/2/2024,237.42,237.7,235.31,236.83,233.21,1454000
13/2/2024,240.75,240.84,235.05,236.39,232.78,2513600
12/2/2024,242.71,244.6,241.86,244.44,240.71,1773200
9/2/2024,242.06,242.82,240.13,242.62,238.91,1786300
8/2/2024,241.9,243.34,240.41,241.75,238.06,1847300
7/2/2024,242.02,243.28,240.33,242.13,238.43,2155500
6/2/2024,238.9,243.78,238.71,241.32,237.63,2625000
5/2/2024,240.79,241.6,237.95,238.31,234.67,2624900
2/2/2024,241.5,243.82,239.34,242.36,238.66,1999200
1/2/2024,241.39,242.59,239.18,241.95,238.25,2417100
31/1/2024,243.41,244.45,240.54,241.29,237.6,2990600
30/1/2024,243.32,247.05,241.35,243.77,240.05,3961500
29/1/2024,250.86,251.01,246.01,248.03,244.24,2612200
26/1/2024,253.42,254.44,250.78,251.55,247.71,1755800
25/1/2024,251.85,254.85,251.46,253.13,249.26,1714500
24/1/2024,252.17,253.52,248.79,249.73,245.92,2466500
23/1/2024,251.18,251.84,249.3,250.85,247.02,1633700
22/1/2024,247.4,251.73,247.4,250.69,246.86,2300000
19/1/2024,244.79,246.65,242.02,246.53,242.76,2410500
18/1/2024,244.92,244.92,242,244.07,240.34,1995300
17/1/2024,242,244.79,241.5,243.29,239.57,1904200
16/1/2024,247.25,247.25,243.66,245.04,241.3,2805000
12/1/2024,250.27,251.53,247.6,248.57,244.77,1603600
11/1/2024,250.14,251.73,248.39,250.85,247.02,2020400
10/1/2024,246.79,251.09,246.03,250.81,246.98,1968700
9/1/2024,247.1,248.71,246.64,247.25,243.47,1514100
8/1/2024,248.27,249.84,246.11,248.59,244.79,2226700
5/1/2024,245.04,248.83,244.51,246.81,243.04,2267600
4/1/2024,247.25,247.74,245.08,245.29,241.54,2911800
3/1/2024,250.27,250.27,245.8,247.64,243.86,2949900
2/1/2024,251.51,252.94,250.23,252.24,248.39,2488000
29/12/2023,254.07,255.63,251.87,252.97,249.11,1947400
28/12/2023,250.78,253.98,250.6,253.58,249.71,2246900
27/12/2023,252.76,254.65,250.72,250.94,247.11,3134400
26/12/2023,250,253.29,249.2,251.99,248.14,3594500
22/12/2023,247.22,249.42,245.85,248.03,244.24,3343100
21/12/2023,248.11,248.75,244.63,247.36,243.58,5851700
20/12/2023,246.5,252.68,245.93,246.25,242.49,18816500
19/12/2023,281.07,283.58,278.5,280,275.72,6880300
18/12/2023,283.25,285.53,280.64,281.92,277.61,2469100
15/12/2023,277.85,284.52,276.89,281.29,276.99,2766700
14/12/2023,277.5,282.24,275.97,279.46,275.19,2889700
13/12/2023,272.04,274.87,268.56,273.83,269.65,1500000
12/12/2023,273.48,276.25,272.14,273.01,268.84,1539900
11/12/2023,271.96,273.9,271.09,271.38,267.24,1295500
8/12/2023,267.42,273.76,267.38,272.21,268.05,2046000
7/12/2023,268,268.98,265.52,267.63,262.3,1401400
6/12/2023,267.43,269.04,266.39,267.21,261.89,1649300
5/12/2023,264.22,267.28,262.51,266.08,260.78,1176200
4/12/2023,262.63,267.8,261.89,265.6,260.31,1420300
1/12/2023,259.15,265.3,258.53,264.42,259.16,1994900
30/11/2023,253.83,259.19,252.17,258.83,253.68,1806600
29/11/2023,255.59,257.26,253.43,253.93,248.87,1012100
28/11/2023,254.06,256.3,252.16,253.41,248.36,1141900
27/11/2023,255.83,256.84,251.66,253.6,248.55,1787400
24/11/2023,257.23,259.21,256.46,257.61,252.48,452200
22/11/2023,257.56,257.56,255.12,256.46,251.35,954700
21/11/2023,255.06,256.58,253.27,255.86,250.77,851700
20/11/2023,255.36,256.6,252.38,255.54,250.45,1201600
17/11/2023,256.85,257.58,253.63,255.95,250.85,1231400
16/11/2023,256.88,257.74,251.53,254.94,249.86,1496100
15/11/2023,253.93,261.92,253.93,257.42,252.3,2121900
14/11/2023,248.95,255.9,248.26,254.18,249.12,1899100
13/11/2023,244.89,246.04,242.3,245.39,240.5,946200
10/11/2023,242.17,246.79,240.75,246.03,241.13,1239500
9/11/2023,246.55,247,240.75,241.19,236.39,944100
8/11/2023,244.99,245.56,242.87,245.37,240.48,1104800
7/11/2023,242.97,245.64,242.32,244.2,239.34,948600
6/11/2023,247.36,247.7,241.91,245.33,240.45,1018000
3/11/2023,249.21,250,246.9,247.14,242.22,1409200
2/11/2023,245.22,249.23,245.22,247.25,242.33,1490200
1/11/2023,240.56,245.32,239.69,243.23,238.39,2079300
31/10/2023,238.18,240.68,236.7,240.1,235.32,1550400
30/10/2023,229.53,237.63,229.07,236.82,232.11,2081700
27/10/2023,228.46,233.19,227.09,228.84,224.28,2004500
26/10/2023,234.42,235.72,224.69,227.93,223.39,2987800
25/10/2023,240.71,241.38,234.33,235.21,230.53,1612400
24/10/2023,239.31,243.07,239.08,241.68,236.87,1469500
23/10/2023,239.7,241.86,236.95,237.97,233.23,1342900
20/10/2023,244.38,245.81,238.62,240.62,235.83,1680200
19/10/2023,244.15,247.27,242.34,243.29,238.45,1388400
18/10/2023,245.1,246.07,241.92,243.61,238.76,1842400
17/10/2023,245.36,249.45,244.78,248.03,243.09,1462500
16/10/2023,244.26,251.06,243.15,247.56,242.63,2025800
13/10/2023,251.68,253.8,241.04,242.84,238.01,2919200
12/10/2023,255.16,256,250.08,252.04,247.02,2514800
11/10/2023,256.5,256.92,252.58,255.46,250.37,2149200
10/10/2023,255.61,259.21,255.36,256.79,251.68,1501000
9/10/2023,255,256.87,252.88,255.72,250.63,1725900
6/10/2023,259.19,260.43,257.33,257.9,252.77,1580300
5/10/2023,258.7,260.08,257.49,259.16,254,1460100
4/10/2023,260.16,261.5,255.67,260.05,254.87,2152600
3/10/2023,264.33,265.5,259.3,260.19,255.01,2090300
2/10/2023,266,266.72,263.56,265.11,259.83,1913000
29/9/2023,269.39,270.46,263.65,264.92,259.65,2373200
28/9/2023,262.06,268.17,261,266.44,261.14,2038500
27/9/2023,261.9,263.08,260.05,262.71,257.48,1885800
26/9/2023,265.14,266.35,260.03,261.39,256.19,2368300
25/9/2023,260.29,268.43,260.22,266.43,261.13,2355900
22/9/2023,262.03,264.75,259.07,261.09,255.89,2826700
21/9/2023,262,268.38,259.23,261.85,256.64,7079500
20/9/2023,251.65,254.18,250.17,250.52,245.53,4014600
19/9/2023,249,251.19,246.05,249.99,245.01,2217600
18/9/2023,253.79,254.69,249.06,249.3,244.34,1780500
15/9/2023,258.61,258.62,252.62,254.08,249.02,2074600
14/9/2023,254,258.18,253.73,257.03,251.91,1568100
13/9/2023,250.92,254.7,249.91,252.16,247.14,1524600
12/9/2023,253.68,254.64,250.71,251.47,246.46,1133800
11/9/2023,255.11,255.82,253.31,254.7,249.63,1263700
8/9/2023,254.49,255.21,251.79,253.31,248.27,1179700
7/9/2023,257.39,257.44,254.53,256.16,249.83,1209100
6/9/2023,257.45,258.77,255.48,257.47,251.1,1099900
5/9/2023,260.18,260.33,256.4,256.62,250.27,1224900
1/9/2023,262.75,263.61,259.53,260.97,254.52,1436500
31/8/2023,263.67,264.63,260.6,261.02,254.57,1524300
30/8/2023,261.67,264.82,259.88,263.89,257.36,1524400
29/8/2023,257.37,260.63,257.17,260.58,254.14,1793700
28/8/2023,259.78,262.96,257.25,258.35,251.96,1059800
25/8/2023,259.37,260.04,254.5,258.73,252.33,1415000
24/8/2023,258.67,261.49,257.76,258.78,252.38,1795700
23/8/2023,258.76,261.52,257.27,260.45,254.01,1653700
22/8/2023,259.94,261.34,257.04,258.98,252.58,1473700
21/8/2023,261.82,263.39,258.9,259.94,253.51,1628600
18/8/2023,262.74,264.78,261.37,262.65,256.15,1972800
17/8/2023,265.15,266.88,263.5,264.91,258.36,2194700
16/8/2023,264.29,268.42,264.29,265.07,258.51,1475100
15/8/2023,266.73,267.16,264.92,265.55,258.98,1391100
14/8/2023,266.04,267.41,264.86,266.94,260.34,2207800
11/8/2023,265.43,266.53,264,265.77,259.2,1204500
10/8/2023,266.64,268.11,264.99,266.53,259.94,1039000
9/8/2023,267.52,268.3,264.97,265.48,258.91,1266300
8/8/2023,263.5,269.91,263.29,268.26,261.63,2050800
7/8/2023,263.75,266.76,262.24,264.36,257.82,1494900
4/8/2023,265,267.27,262.57,263,256.5,1593400
3/8/2023,264.61,266.19,262.37,263.52,257,1810800
2/8/2023,267,268.33,265.08,265.45,258.89,1227400
1/8/2023,269.28,270.58,265.64,268.16,261.53,1251900
31/7/2023,268.85,270.95,268.13,269.95,263.27,1055600
28/7/2023,267.25,269.88,266.19,268.85,262.2,1058500
27/7/2023,268.75,270.27,264.97,265.37,258.81,1945100
26/7/2023,260.97,269.32,260.92,268.13,261.5,2751300
25/7/2023,258.25,261.75,254.64,259.66,253.24,2363700
24/7/2023,255,260.82,254.44,258.77,252.37,2010400
21/7/2023,260.44,262.47,259.26,259.67,253.25,1785100
20/7/2023,259.25,264.52,259,263.54,257.02,2138600
19/7/2023,261.5,261.79,257.91,260.26,253.82,2655500
18/7/2023,262,265.6,259.99,261.97,255.49,2766700
17/7/2023,256.39,256.9,253.89,254.73,248.43,1494400
14/7/2023,258.19,259.73,256.16,257.45,251.08,1044400
13/7/2023,262.09,262.87,257.01,258.46,252.07,1747600
12/7/2023,259.93,262.63,259.41,261.61,255.14,2068300
11/7/2023,252,258.88,251.98,258.4,252.01,3039700
10/7/2023,250.46,252.53,249.32,251.69,245.47,1573000
7/7/2023,246.76,253.13,246.76,251.25,245.04,2423500
6/7/2023,246.65,249.33,246.65,247.67,241.55,1712900
5/7/2023,246.21,250.37,246.19,248.32,242.18,1613300
3/7/2023,247.11,248.37,246.18,247.55,241.43,1281600
30/6/2023,250,250.08,245.65,247.9,241.77,2604200
29/6/2023,248.7,249.99,248.15,249.98,243.8,2314400
28/6/2023,246,249.8,245.09,248.44,242.3,2980800
27/6/2023,236.09,246.89,236.01,246.76,240.66,4162000
26/6/2023,232.87,237.05,232.59,234.93,229.12,2205800
23/6/2023,230.65,233.79,230.15,232.34,226.59,3028000
22/6/2023,225.01,234.79,224.4,232.93,227.17,3592100
21/6/2023,223.8,232.36,223.24,225.84,220.26,7126000
20/6/2023,234.59,234.74,229.96,231.65,225.92,5215800
16/6/2023,237.35,238,233.36,233.46,227.69,3288900
15/6/2023,229.77,236.88,229.77,236.44,230.59,2321600
14/6/2023,229.76,232.46,228.07,229.67,223.99,2091200
13/6/2023,224.2,228.99,222.01,228.87,223.21,2341800
12/6/2023,224.43,225.09,222.71,224.55,219,1437000
9/6/2023,224.44,224.47,221.2,223.76,218.23,1654200
8/6/2023,225.07,226.4,222.11,225.01,218.22,1631500
7/6/2023,220.45,224.82,220.02,224.6,217.82,2141500
6/6/2023,220,220.69,218.55,219.5,212.87,1474700
5/6/2023,221.96,223.21,220.35,221.08,214.41,1187900
2/6/2023,218.53,222.66,218.32,221.74,215.05,1541200
1/6/2023,217.51,217.96,213.81,217.29,210.73,2170600
31/5/2023,223.71,223.91,217.82,217.98,211.4,3001600
30/5/2023,225.57,227.38,223.6,226.14,219.31,2073700
26/5/2023,225.78,226.85,223.9,224.15,217.38,1217900
25/5/2023,224.6,226.35,223.87,225.08,218.28,1015400
24/5/2023,225,225.92,222.53,223.55,216.8,1031900
23/5/2023,227.26,229.53,225.8,226.64,219.8,898000
22/5/2023,229.02,230.44,227.41,228.68,221.78,1024400
19/5/2023,231.26,231.51,227.91,229.08,222.16,1583100
18/5/2023,229.1,234.15,228.39,230.43,223.47,2560600
17/5/2023,221.48,226.03,221.13,225.89,219.07,2702400
16/5/2023,221.36,223.36,219.33,221.27,214.59,1529700
15/5/2023,221.78,223.46,221.19,222.42,215.7,1863900
12/5/2023,225.24,225.98,220.26,222.93,216.2,1641200
11/5/2023,226.51,226.51,223.38,224.84,218.05,1286100
10/5/2023,229.67,230.2,223.92,226.33,219.5,1480800
9/5/2023,229.79,231.08,228.36,228.63,221.73,969500
8/5/2023,229.05,231.65,229.05,230.73,223.76,1058100
5/5/2023,227.14,230.97,226.57,229.3,222.38,1157900
4/5/2023,228.12,228.83,225.01,226.37,219.54,955100
3/5/2023,228.06,231.69,227.01,228.52,221.62,1356500
2/5/2023,229.17,229.98,226.53,228.4,221.5,1102100
1/5/2023,228.45,231.19,228.32,230.58,223.62,1122100
28/4/2023,223.62,228.61,223.62,227.78,220.9,1608300
27/4/2023,224.14,226.34,223.01,225.94,219.12,1535200
26/4/2023,224.44,226.39,221.7,222.77,216.04,1813500
25/4/2023,228.1,229.95,224.35,225.47,218.66,2201400
24/4/2023,231,232.64,229.92,232.16,225.15,1374300
21/4/2023,229.78,232.5,228.73,230.44,223.48,2180100
20/4/2023,228.75,231.45,228.13,229.38,222.45,1314900
19/4/2023,227.38,229.56,227.18,229.49,222.56,1340900
18/4/2023,230.27,231.78,228.35,229.21,222.29,1282700
17/4/2023,230.75,231.56,228.75,229.31,222.39,1535400
14/4/2023,231.11,232.61,229.39,230.69,223.73,1525700
13/4/2023,230,231.68,227.73,231.07,224.09,1797900
12/4/2023,231.76,232.33,229.3,229.47,222.54,2507500
11/4/2023,231.66,233.1,231.04,231.53,224.54,1971600
10/4/2023,229.36,233.38,228.61,231.6,224.61,1880900
6/4/2023,231.01,235.81,230.97,232.1,225.09,3675700
5/4/2023,232.1,235.67,227.8,229.93,222.99,6601300
4/4/2023,228.55,229.44,223.43,226.49,219.65,1753500
3/4/2023,227.32,228.87,226.47,228.84,221.93,1980900
31/3/2023,224.99,228.86,224.82,228.49,221.59,1654500
30/3/2023,224.74,225.65,222.91,224.4,217.63,1647100
29/3/2023,221.77,223.84,221.77,223.65,216.9,1674900
28/3/2023,219.88,222.9,219.6,220.44,213.78,1357900
27/3/2023,217.32,221.36,217.15,219.82,213.18,1869900
24/3/2023,216.88,218.21,214.67,217.6,211.03,1772600
23/3/2023,217.89,222.64,216.05,216.92,210.37,2583700
22/3/2023,220.42,223.6,217.05,217.06,210.51,2191000
